"state","year","month","unemployment_rate"
"AZ",2022,"6","3.70"
"AZ",2022,"7","3.80"
"AZ",2022,"8","3.80"
"AZ",2022,"9","3.80"
"AZ",2022,"10","3.80"
"AZ",2022,"11","3.80"
"AZ",2022,"12","3.70"
"AZ",2023,"1","3.70"
"AZ",2023,"2","3.60"
"AZ",2023,"3","3.60"
"AZ",2023,"4","3.60"
"AZ",2023,"5","3.60"
"AZ",2023,"6","3.70"
"AZ",2023,"7","3.70"
"AZ",2023,"8","3.70"
"AZ",2023,"9","3.80"
"AZ",2023,"10","3.70"
"AZ",2023,"11","3.70"
"AZ",2023,"12","3.60"
"AZ",2024,"1","3.50"
"AZ",2024,"2","3.40"
"AZ",2024,"3","3.30"
"AZ",2024,"4","3.40"
"AZ",2024,"5","3.40"
"AZ",2024,"6","3.50"
"AZ",2024,"7","3.60"
"AZ",2024,"8","3.70"
"AZ",2024,"9","3.80"
"AZ",2024,"10","3.90"
"AZ",2024,"11","3.90"
"AZ",2024,"12","3.80"
"CA",2015,"1","6.80"
"CA",2015,"2","6.70"
"CA",2015,"3","6.60"
"CA",2015,"4","6.50"
"CA",2015,"5","6.40"
"CA",2015,"6","6.30"
"CA",2015,"7","6.10"
"CA",2015,"8","6.00"
"CA",2015,"9","5.90"
"CA",2015,"10","5.80"
"CA",2015,"11","5.80"
"CA",2015,"12","5.70"
"CA",2016,"1","5.70"
"CA",2016,"2","5.60"
"CA",2016,"3","5.60"
"CA",2016,"4","5.50"
"CA",2016,"5","5.50"
"CA",2016,"6","5.50"
"CA",2016,"7","5.50"
"CA",2016,"8","5.50"
"CA",2016,"9","5.50"
"CA",2016,"10","5.50"
"CA",2016,"11","5.40"
"CA",2016,"12","5.40"
"CA",2017,"1","5.30"
"CA",2017,"2","5.10"
"CA",2017,"3","5.00"
"CA",2017,"4","5.00"
"CA",2017,"5","4.90"
"CA",2017,"6","4.80"
"CA",2017,"7","4.80"
"CA",2017,"8","4.80"
"CA",2017,"9","4.70"
"CA",2017,"10","4.60"
"CA",2017,"11","4.50"
"CA",2017,"12","4.50"
"CA",2018,"1","4.40"
"CA",2018,"2","4.30"
"CA",2018,"3","4.30"
"CA",2018,"4","4.20"
"CA",2018,"5","4.20"
"CA",2018,"6","4.20"
"CA",2018,"7","4.20"
"CA",2018,"8","4.20"
"CA",2018,"9","4.20"
"CA",2018,"10","4.30"
"CA",2018,"11","4.30"
"CA",2018,"12","4.30"
"CA",2019,"1","4.30"
"CA",2019,"2","4.30"
"CA",2019,"3","4.20"
"CA",2019,"4","4.10"
"CA",2019,"5","4.00"
"CA",2019,"6","4.00"
"CA",2019,"7","4.00"
"CA",2019,"8","4.00"
"CA",2019,"9","4.00"
"CA",2019,"10","4.00"
"CA",2019,"11","4.10"
"CA",2019,"12","4.10"
"CA",2020,"1","4.30"
"CA",2020,"2","4.40"
"CA",2020,"3","5.50"
"CA",2020,"4","16.10"
"CA",2020,"5","15.80"
"CA",2020,"6","13.80"
"CA",2020,"7","13.10"
"CA",2020,"8","11.80"
"CA",2020,"9","9.90"
"CA",2020,"10","9.30"
"CA",2020,"11","9.00"
"CA",2020,"12","9.00"
"CA",2021,"1","8.70"
"CA",2021,"2","8.60"
"CA",2021,"3","8.50"
"CA",2021,"4","8.40"
"CA",2021,"5","8.00"
"CA",2021,"6","7.90"
"CA",2021,"7","7.40"
"CA",2021,"8","7.00"
"CA",2021,"9","6.50"
"CA",2021,"10","6.10"
"CA",2021,"11","5.70"
"CA",2021,"12","5.40"
"CA",2022,"1","5.20"
"CA",2022,"2","4.80"
"CA",2022,"3","4.50"
"CA",2022,"4","4.30"
"CA",2022,"5","4.10"
"CA",2022,"6","4.00"
"CA",2022,"7","3.90"
"CA",2022,"8","3.80"
"CA",2022,"9","4.00"
"CA",2022,"10","4.20"
"CA",2022,"11","4.30"
"CA",2022,"12","4.40"
"CA",2023,"1","4.40"
"CA",2023,"2","4.50"
"CA",2023,"3","4.50"
"CA",2023,"4","4.50"
"CA",2023,"5","4.60"
"CA",2023,"6","4.60"
"CA",2023,"7","4.70"
"CA",2023,"8","4.80"
"CA",2023,"9","4.90"
"CA",2023,"10","5.00"
"CA",2023,"11","5.10"
"CA",2023,"12","5.10"
"CA",2024,"1","5.10"
"CA",2024,"2","5.10"
"CA",2024,"3","5.10"
"CA",2024,"4","5.20"
"CA",2024,"5","5.20"
"CA",2024,"6","5.30"
"CA",2024,"7","5.40"
"CA",2024,"8","5.40"
"CA",2024,"9","5.50"
"CA",2024,"10","5.50"
"CA",2024,"11","5.50"
"CA",2024,"12","5.50"
"CO",2015,"1","4.10"
"CO",2015,"2","4.10"
"CO",2015,"3","4.00"
"CO",2015,"4","4.00"
"CO",2015,"5","3.90"
"CO",2015,"6","3.80"
"CO",2015,"7","3.60"
"CO",2015,"8","3.50"
"CO",2015,"9","3.40"
"CO",2015,"10","3.40"
"CO",2015,"11","3.30"
"CO",2015,"12","3.30"
"CO",2016,"1","3.30"
"CO",2016,"2","3.30"
"CO",2016,"3","3.30"
"CO",2016,"4","3.30"
"CO",2016,"5","3.30"
"CO",2016,"6","3.20"
"CO",2016,"7","3.20"
"CO",2016,"8","3.10"
"CO",2016,"9","3.00"
"CO",2016,"10","2.90"
"CO",2016,"11","2.80"
"CO",2016,"12","2.70"
"CO",2017,"1","2.60"
"CO",2017,"2","2.50"
"CO",2017,"3","2.40"
"CO",2017,"4","2.40"
"CO",2017,"5","2.40"
"CO",2017,"6","2.50"
"CO",2017,"7","2.60"
"CO",2017,"8","2.70"
"CO",2017,"9","2.80"
"CO",2017,"10","2.80"
"CO",2017,"11","2.80"
"CO",2017,"12","2.90"
"CO",2018,"1","2.90"
"CO",2018,"2","2.90"
"CO",2018,"3","2.90"
"CO",2018,"4","3.00"
"CO",2018,"5","3.00"
"CO",2018,"6","3.10"
"CO",2018,"7","3.10"
"CO",2018,"8","3.10"
"CO",2018,"9","3.10"
"CO",2018,"10","3.10"
"CO",2018,"11","3.10"
"CO",2018,"12","3.00"
"CO",2019,"1","3.00"
"CO",2019,"2","2.90"
"CO",2019,"3","2.80"
"CO",2019,"4","2.60"
"CO",2019,"5","2.60"
"CO",2019,"6","2.50"
"CO",2019,"7","2.50"
"CO",2019,"8","2.50"
"CO",2019,"9","2.50"
"CO",2019,"10","2.60"
"CO",2019,"11","2.70"
"CO",2019,"12","2.80"
"CO",2020,"1","3.00"
"CO",2020,"2","3.20"
"CO",2020,"3","3.40"
"CO",2020,"4","11.20"
"CO",2020,"5","11.70"
"CO",2020,"6","11.20"
"CO",2020,"7","6.50"
"CO",2020,"8","6.20"
"CO",2020,"9","6.30"
"CO",2020,"10","6.20"
"CO",2020,"11","6.20"
"CO",2020,"12","6.40"
"CO",2021,"1","6.30"
"CO",2021,"2","6.30"
"CO",2021,"3","6.20"
"CO",2021,"4","6.20"
"CO",2021,"5","6.00"
"CO",2021,"6","5.90"
"CO",2021,"7","5.70"
"CO",2021,"8","5.40"
"CO",2021,"9","4.90"
"CO",2021,"10","4.60"
"CO",2021,"11","4.40"
"CO",2021,"12","4.20"
"CO",2022,"1","4.00"
"CO",2022,"2","3.70"
"CO",2022,"3","3.30"
"CO",2022,"4","3.20"
"CO",2022,"5","3.00"
"CO",2022,"6","2.90"
"CO",2022,"7","2.80"
"CO",2022,"8","2.60"
"CO",2022,"9","2.80"
"CO",2022,"10","2.90"
"CO",2022,"11","3.00"
"CO",2022,"12","3.00"
"CO",2023,"1","3.00"
"CO",2023,"2","3.00"
"CO",2023,"3","3.10"
"CO",2023,"4","3.10"
"CO",2023,"5","3.20"
"CO",2023,"6","3.20"
"CO",2023,"7","3.30"
"CO",2023,"8","3.40"
"CO",2023,"9","3.40"
"CO",2023,"10","3.50"
"CO",2023,"11","3.60"
"CO",2023,"12","3.80"
"CO",2024,"1","3.80"
"CO",2024,"2","3.90"
"CO",2024,"3","4.00"
"CO",2024,"4","4.00"
"CO",2024,"5","4.10"
"CO",2024,"6","4.20"
"CO",2024,"7","4.30"
"CO",2024,"8","4.40"
"CO",2024,"9","4.50"
"CO",2024,"10","4.60"
"CO",2024,"11","4.60"
"CO",2024,"12","4.60"
"CT",2015,"1","6.00"
"CT",2015,"2","5.90"
"CT",2015,"3","5.80"
"CT",2015,"4","5.70"
"CT",2015,"5","5.70"
"CT",2015,"6","5.60"
"CT",2015,"7","5.50"
"CT",2015,"8","5.50"
"CT",2015,"9","5.50"
"CT",2015,"10","5.40"
"CT",2015,"11","5.40"
"CT",2015,"12","5.30"
"CT",2016,"1","5.30"
"CT",2016,"2","5.20"
"CT",2016,"3","5.10"
"CT",2016,"4","5.00"
"CT",2016,"5","5.00"
"CT",2016,"6","4.90"
"CT",2016,"7","4.80"
"CT",2016,"8","4.70"
"CT",2016,"9","4.70"
"CT",2016,"10","4.60"
"CT",2016,"11","4.60"
"CT",2016,"12","4.60"
"CT",2017,"1","4.60"
"CT",2017,"2","4.50"
"CT",2017,"3","4.50"
"CT",2017,"4","4.50"
"CT",2017,"5","4.40"
"CT",2017,"6","4.40"
"CT",2017,"7","4.40"
"CT",2017,"8","4.40"
"CT",2017,"9","4.30"
"CT",2017,"10","4.30"
"CT",2017,"11","4.30"
"CT",2017,"12","4.30"
"CT",2018,"1","4.20"
"CT",2018,"2","4.20"
"CT",2018,"3","4.10"
"CT",2018,"4","4.00"
"CT",2018,"5","3.90"
"CT",2018,"6","3.90"
"CT",2018,"7","3.80"
"CT",2018,"8","3.80"
"CT",2018,"9","3.80"
"CT",2018,"10","3.70"
"CT",2018,"11","3.70"
"CT",2018,"12","3.70"
"CT",2019,"1","3.70"
"CT",2019,"2","3.60"
"CT",2019,"3","3.50"
"CT",2019,"4","3.50"
"CT",2019,"5","3.50"
"CT",2019,"6","3.50"
"CT",2019,"7","3.50"
"CT",2019,"8","3.60"
"CT",2019,"9","3.60"
"CT",2019,"10","3.60"
"CT",2019,"11","3.70"
"CT",2019,"12","3.70"
"CT",2020,"1","3.80"
"CT",2020,"2","3.80"
"CT",2020,"3","3.90"
"CT",2020,"4","8.30"
"CT",2020,"5","11.90"
"CT",2020,"6","11.50"
"CT",2020,"7","11.70"
"CT",2020,"8","9.60"
"CT",2020,"9","8.80"
"CT",2020,"10","7.90"
"CT",2020,"11","7.50"
"CT",2020,"12","7.40"
"CT",2021,"1","7.20"
"CT",2021,"2","7.20"
"CT",2021,"3","7.20"
"CT",2021,"4","7.20"
"CT",2021,"5","7.00"
"CT",2021,"6","7.00"
"CT",2021,"7","6.60"
"CT",2021,"8","6.30"
"CT",2021,"9","5.90"
"CT",2021,"10","5.60"
